,公司代码,公司简称,公司全称,A股代码,A股简称,A股上市日期,城市
601,002604,龙力生物,山东龙力生物科技股份有限公司,002604,龙力生物,2011年7月28日,山东德州市
602,002605,姚记扑克,上海姚记扑克股份有限公司,002605,姚记扑克,2011年8月5日,上海市
603,002606,大连电瓷,大连电瓷集团股份有限公司,002606,大连电瓷,2011年8月5日,辽宁大连市
604,002607,亚夏汽车,芜湖亚夏汽车股份有限公司,002607,亚夏汽车,2011年8月10日,安徽芜湖市
605,002608,*ST舜船,江苏舜天船舶股份有限公司,002608,*ST舜船,2011年8月10日,江苏南京市
606,002609,捷顺科技,深圳市捷顺科技实业股份有限公司,002609,捷顺科技,2011年8月15日,广东深圳市
607,002610,爱康科技,江苏爱康科技股份有限公司,002610,爱康科技,2011年8月15日,江苏无锡市
608,002611,东方精工,广东东方精工科技股份有限公司,002611,东方精工,2011年8月30日,广东佛山市
609,002612,朗姿股份,朗姿股份有限公司,002612,朗姿股份,2011年8月30日,北京市
610,002613,北玻股份,洛阳北方玻璃技术股份有限公司,002613,北玻股份,2011年8月30日,河南洛阳市
611,002614,蒙发利,厦门蒙发利科技(集团)股份有限公司,002614,蒙发利,2011年9月9日,福建厦门市
612,002615,哈尔斯,浙江哈尔斯真空器皿股份有限公司,002615,哈尔斯,2011年9月9日,浙江金华市
613,002616,长青集团,广东长青（集团）股份有限公司,002616,长青集团,2011年9月20日,广东中山市
614,002617,露笑科技,露笑科技股份有限公司,002617,露笑科技,2011年9月20日,浙江绍兴市
615,002618,丹邦科技,深圳丹邦科技股份有限公司,002618,丹邦科技,2011年9月20日,广东深圳市
616,002619,巨龙管业,浙江巨龙管业股份有限公司,002619,巨龙管业,2011年9月29日,浙江金华市
617,002620,瑞和股份,深圳瑞和建筑装饰股份有限公司,002620,瑞和股份,2011年9月29日,广东深圳市
618,002621,三垒股份,大连三垒机器股份有限公司,002621,三垒股份,2011年9月29日,辽宁大连市
619,002622,永大集团,吉林永大集团股份有限公司,002622,永大集团,2011年10月18日,吉林吉林市
620,002623,亚玛顿,常州亚玛顿股份有限公司,002623,亚玛顿,2011年10月13日,江苏常州市
621,002624,完美环球,完美环球娱乐股份有限公司,002624,完美环球,2011年10月28日,浙江湖州市
622,002625,龙生股份,浙江龙生汽车部件股份有限公司,002625,龙生股份,2011年11月3日,浙江杭州市
623,002626,金达威,厦门金达威集团股份有限公司,002626,金达威,2011年10月28日,福建厦门市
624,002627,宜昌交运,湖北宜昌交运集团股份有限公司,002627,宜昌交运,2011年11月3日,湖北宜昌市
625,002628,成都路桥,成都市路桥工程股份有限公司,002628,成都路桥,2011年11月3日,四川成都市
626,002629,仁智油服,四川仁智油田技术服务股份有限公司,002629,仁智油服,2011年11月3日,四川绵阳市
