,公司全称,A股代码,A股简称,A股时间,B股代码,B股简称,B股时间,城市
74,广州发展集团股份有限公司,600098,广州发展,1997-07-18,,,,广东省广州市
75,林海股份有限公司,600099,林海股份,1997-07-04,,,,江苏省泰州市
76,同方股份有限公司,600100,同方股份,1997-06-27,,,,北京市
77,四川明星电力股份有限公司,600101,明星电力,1997-06-27,,,,四川省遂宁市
78,福建省青山纸业股份有限公司,600103,青山纸业,1997-07-03,,,,福建省福州市
79,上海汽车集团股份有限公司,600104,上汽集团,1997-11-25,,,,上海市
80,江苏永鼎股份有限公司,600105,永鼎股份,1997-09-29,,,,江苏省苏州市
81,重庆路桥股份有限公司,600106,重庆路桥,1997-06-18,,,,重庆市
82,湖北美尔雅股份有限公司,600107,美尔雅,1997-11-06,,,,湖北省黄石市
83,甘肃亚盛实业（集团）股份有限公司,600108,亚盛集团,1997-08-18,,,,甘肃省兰州市
84,国金证券股份有限公司,600109,国金证券,1997-08-07,,,,四川省成都市
85,诺德投资股份有限公司,600110,诺德股份,1997-10-07,,,,吉林省长春市
86,中国北方稀土（集团）高科技股份有限公司,600111,北方稀土,1997-09-24,,,,内蒙古自治区包头市
87,贵州长征天成控股股份有限公司,600112,天成控股,1997-11-27,,,,贵州省遵义市
88,浙江东日股份有限公司,600113,浙江东日,1997-10-21,,,,浙江省温州市
89,东睦新材料集团股份有限公司,600114,东睦股份,2004-05-11,,,,浙江省宁波市
90,中国东方航空股份有限公司,600115,东方航空,1997-11-05,,,,上海市
91,重庆三峡水利电力（集团）股份有限公司,600116,三峡水利,1997-08-04,,,,重庆市
92,西宁特殊钢股份有限公司,600117,西宁特钢,1997-10-15,,,,青海省西宁市
93,中国东方红卫星股份有限公司,600118,中国卫星,1997-09-08,,,,北京市
94,长发集团长江投资实业股份有限公司,600119,长江投资,1998-01-15,,,,上海市
95,浙江东方集团股份有限公司,600120,浙江东方,1997-12-01,,,,浙江省杭州市
96,郑州煤电股份有限公司,600121,郑州煤电,1998-01-07,,,,河南省郑州市
97,江苏宏图高科技股份有限公司,600122,宏图高科,1998-04-20,,,,江苏省南京市
