,公司代码,公司简称,公司全称,A股代码,A股简称,A股上市日期,城市
512,300521,爱司凯,广州市爱司凯科技股份有限公司,300521,爱司凯,2016-07-05,广东广州市
513,300522,世名科技,苏州世名科技股份有限公司,300522,世名科技,2016-07-05,江苏苏州市
514,300523,辰安科技,北京辰安科技股份有限公司,300523,辰安科技,2016-07-26,北京市
515,300525,博思软件,福建博思软件股份有限公司,300525,博思软件,2016-07-26,福建福州市
516,300526,中潜股份,中潜股份有限公司,300526,中潜股份,2016-08-02,广东惠州市
517,300527,华舟应急,湖北华舟重工应急装备股份有限公司,300527,华舟应急,2016-08-05,湖北武汉市
518,300528,幸福蓝海,幸福蓝海影视文化集团股份有限公司,300528,幸福蓝海,2016-08-08,江苏南京市
519,300529,健帆生物,珠海健帆生物科技股份有限公司,300529,健帆生物,2016-08-02,广东珠海市
520,300530,达志科技,广东达志环保科技股份有限公司,300530,达志科技,2016-08-09,广东广州市
521,300531,优博讯,深圳市优博讯科技股份有限公司,300531,优博讯,2016-08-09,广东深圳市
522,300532,今天国际,深圳市今天国际物流技术股份有限公司,300532,今天国际,2016-08-18,广东深圳市
523,300533,冰川网络,深圳冰川网络股份有限公司,300533,冰川网络,2016-08-18,广东深圳市
524,300534,陇神戎发,甘肃陇神戎发药业股份有限公司,300534,陇神戎发,2016-09-13,甘肃兰州市
525,300535,达威股份,四川达威科技股份有限公司,300535,达威股份,2016-08-12,四川成都市
526,300536,农尚环境,武汉农尚环境股份有限公司,300536,农尚环境,2016-09-20,湖北武汉市
527,300537,广信材料,江苏广信感光新材料股份有限公司,300537,广信材料,2016-08-30,江苏无锡市
528,300538,同益股份,深圳市同益实业股份有限公司,300538,同益股份,2016-08-26,广东深圳市
529,300539,横河模具,宁波横河模具股份有限公司,300539,横河模具,2016-08-30,浙江宁波市
530,300540,深冷股份,成都深冷液化设备股份有限公司,300540,深冷股份,2016-08-23,四川成都市
531,300541,先进数通,北京先进数通信息技术股份公司,300541,先进数通,2016-09-13,北京市
532,300542,新晨科技,新晨科技股份有限公司,300542,新晨科技,2016-09-20,北京市
533,300543,朗科智能,深圳市朗科智能电气股份有限公司,300543,朗科智能,2016-09-08,广东深圳市
534,300545,联得装备,深圳市联得自动化装备股份有限公司,300545,联得装备,2016-09-28,广东深圳市
535,300546,雄帝科技,深圳市雄帝科技股份有限公司,300546,雄帝科技,2016-09-28,广东深圳市
536,300547,川环科技,四川川环科技股份有限公司,300547,川环科技,2016-09-30,四川达州市
537,300548,博创科技,博创科技股份有限公司,300548,博创科技,2016-10-12,浙江嘉兴市
538,300549,优德精密,优德精密工业（昆山）股份有限公司,300549,优德精密,2016-09-30,江苏苏州市
539,300550,和仁科技,浙江和仁科技股份有限公司,300550,和仁科技,2016-10-18,浙江杭州市
540,300551,古鳌科技,上海古鳌电子科技股份有限公司,300551,古鳌科技,2016-10-18,上海市
541,300552,万集科技,北京万集科技股份有限公司,300552,万集科技,2016-10-21,北京市
542,300553,集智股份,杭州集智机电股份有限公司,300553,集智股份,2016-10-21,浙江杭州市
543,300555,路通视信,无锡路通视信网络股份有限公司,300555,路通视信,2016-10-18,江苏无锡市
544,300556,丝路视觉,深圳丝路数字视觉股份有限公司,300556,丝路视觉,2016-11-04,广东深圳市
545,300557,理工光科,武汉理工光科股份有限公司,300557,理工光科,2016-11-01,湖北武汉市
546,300558,贝达药业,贝达药业股份有限公司,300558,贝达药业,2016-11-07,浙江杭州市
547,300559,佳发安泰,成都佳发安泰科技股份有限公司,300559,佳发安泰,2016-11-01,四川成都市
548,300560,中富通,中富通股份有限公司,300560,中富通,2016-11-01,福建福州市
549,300561,汇金科技,珠海汇金科技股份有限公司,300561,汇金科技,2016-11-17,广东珠海市
550,300562,乐心医疗,广东乐心医疗电子股份有限公司,300562,乐心医疗,2016-11-16,广东中山市
551,300563,神宇股份,神宇通信科技股份公司,300563,神宇股份,2016-11-14,江苏无锡市
552,300565,科信技术,深圳市科信通信技术股份有限公司,300565,科信技术,2016-11-22,广东深圳市
