,公司代码,公司简称,公司全称,A股代码,A股简称,A股上市日期,B股代码,B股简称,B股上市日期,城市
182,000593,大通燃气,四川大通燃气开发股份有限公司,000593,大通燃气,1996年3月12日,,,,四川省成都市
183,000594,国恒铁路,天津国恒铁路控股股份有限公司,000594,国恒铁路,1996年3月20日,,,,天津市
184,000595,西北轴承,西北轴承股份有限公司,000595,西北轴承,1996年4月19日,,,,宁夏银川市
185,000596,古井贡酒,安徽古井贡酒股份有限公司,000596,古井贡酒,1996年9月27日,200596,古井贡B,1996年6月12日,安徽省亳州市
186,000597,东北制药,东北制药集团股份有限公司,000597,东北制药,1996年5月23日,,,,辽宁省沈阳市
187,000598,蓝星清洗,蓝星清洗股份有限公司,000598,蓝星清洗,1996年5月29日,,,,甘肃省兰州市
188,000599,青岛双星,青岛双星股份有限公司,000599,青岛双星,1996年4月30日,,,,山东省青岛市
189,000600,建投能源,河北建投能源投资股份有限公司,000600,建投能源,1996年6月6日,,,,河北省石家庄市
190,000601,韶能股份,广东韶能集团股份有限公司,000601,韶能股份,1996年8月30日,,,,广东省韶关市
191,000602,金马集团,广东金马旅游集团股份有限公司,000602,金马集团,1996年8月19日,,,,广东省潮州市
192,000603,威达医械,威达医用科技股份有限公司,000603,*ST 威达,1996年8月23日,,,,重庆市
193,000605,四环药业,四环药业股份有限公司,000605,ST四 环,1996年9月13日,,,,北京市
194,000606,青海明胶,青海明胶股份有限公司,000606,青海明胶,1996年10月4日,,,,青海省西宁市
195,000607,华立药业,重庆华立药业股份有限公司,000607,华立药业,1996年8月30日,,,,重庆市
196,000608,阳光股份,阳光新业地产股份有限公司,000608,阳光股份,1996年9月19日,,,,广西南宁市
197,000609,绵世股份,北京绵世投资集团股份有限公司,000609,绵世股份,1996年10月10日,,,,北京市
198,000610,西安旅游,西安旅游股份有限公司,000610,西安旅游,1996年9月26日,,,,陕西省西安市
199,000611,时代科技,内蒙古时代科技股份有限公司,000611,时代科技,1996年10月8日,,,,内蒙古呼和浩特市
200,000612,焦作万方,焦作万方铝业股份有限公司,000612,焦作万方,1996年9月26日,,,,河南省焦作市
201,000613,大东海,海南大东海旅游中心股份有限公司,000613,ST东海A,1997年1月28日,200613,ST东海B,1996年10月8日,海南省三亚市
202,000615,湖北金环,湖北金环股份有限公司,000615,湖北金环,1996年10月16日,,,,湖北省襄樊市
203,000616,亿城股份,亿城集团股份有限公司,000616,亿城股份,1996年11月8日,,,,北京市
204,000617,石油济柴,济南柴油机股份有限公司,000617,石油济柴,1996年10月22日,,,,山东省济南市
205,000619,海螺型材,芜湖海螺型材科技股份有限公司,000619,海螺型材,1996年10月23日,,,,安徽省芜湖市
206,000620,圣方科技,黑龙江圣方科技股份有限公司,000620,S*ST圣方,1996年10月29日,,,,黑龙江省牡丹江市
207,000622,岳阳恒立,岳阳恒立冷气设备股份有限公司,000622,S*ST恒立,1996年11月7日,,,,湖南省岳阳市
208,000623,吉林敖东,吉林敖东药业集团股份有限公司,000623,吉林敖东,1996年10月28日,,,,吉林省敦化市
209,000625,长安汽车,重庆长安汽车股份有限公司,000625,长安汽车,1997年6月10日,200625,长安B,1996年11月8日,重庆市
210,000626,如意集团,连云港如意集团股份有限公司,000626,如意集团,1996年11月28日,,,,江苏省连云港市
211,000627,天茂集团,天茂实业集团股份有限公司,000627,天茂集团,1996年11月12日,,,,湖北省荆门市
212,000628,高新发展,成都高新发展股份有限公司,000628,*ST高新,1996年11月18日,,,,四川省成都市
213,000629,新钢钒,攀枝花新钢钒股份有限公司,000629,攀钢钢钒,1996年11月15日,,,,四川省攀枝花市
214,000630,铜都铜业,安徽铜都铜业股份有限公司,000630,铜都铜业,1996年11月20日,,,,安徽省铜陵市
215,000631,兰宝信息,兰宝科技信息股份有限公司,000631,*ST兰宝,1996年11月22日,,,,吉林省长春市
216,000632,三木集团,福建三木集团股份有限公司,000632,三木集团,1996年11月21日,,,,福建省福州市
217,000633,合金投资,沈阳合金投资股份有限公司,000633,SST合金,1996年11月12日,,,,辽宁省沈阳市
218,000635,英力特,宁夏英力特化工股份有限公司,000635,英力特,1996年11月20日,,,,宁夏石嘴山市
219,000636,风华高科,广东风华高新科技股份有限公司,000636,风华高科,1996年11月29日,,,,广东省肇庆市
220,000637,茂化实华,茂名石化实华股份有限公司,000637,茂化实华,1996年11月14日,,,,广东省茂名市
221,000638,中辽国际,中国辽宁国际合作（集团）股份有限公司,000638,S*ST中辽,1996年11月26日,,,,辽宁省沈阳市
222,000639,金德发展,湖南金德发展股份有限公司,000639,金德发展,1996年11月26日,,,,湖南省株洲市
223,000650,仁和药业,仁和药业股份有限公司,000650,仁和药业,1996年12月10日,,,,江西省九江市
224,000651,格力电器,珠海格力电器股份有限公司,000651,格力电器,1996年11月18日,,,,广东省珠海市
225,000652,泰达股份,天津泰达股份有限公司,000652,泰达股份,1996年11月28日,,,,天津市
226,000655,金岭矿业,山东金岭矿业股份有限公司,000655,金岭矿业,1996年11月28日,,,,山东省淄博市
227,000656,重庆东源,重庆东源产业发展股份有限公司,000656,ST东源,1996年11月28日,,,,重庆市
228,000657,中钨高新,中钨高新材料股份有限公司,000657,*ST中钨,1996年12月5日,,,,海南省海口市
229,000659,珠海中富,珠海中富实业股份有限公司,000659,珠海中富,1996年12月3日,,,,广东省珠海市
230,000661,长春高新,长春高新技术产业（集团）股份有限公司,000661,长春高新,1996年12月18日,,,,吉林省长春市
231,000662,索芙特,索芙特股份有限公司,000662,索芙特,1996年12月16日,,,,广西梧州市
232,000663,永安林业,福建省永安林业（集团）股份有限公司,000663,永安林业,1996年12月6日,,,,福建省三明市
233,000665,武汉塑料,武汉塑料工业集团股份有限公司,000665,武汉塑料,1996年12月10日,,,,湖北省武汉市
234,000666,经纬纺机,经纬纺织机械股份有限公司,000666,经纬纺机,1996年12月10日,,,,北京市
235,000667,名流置业,名流置业集团股份有限公司,000667,名流置业,1996年12月5日,,,,云南省昆明市
236,000668,荣丰控股,荣丰控股集团股份有限公司,000668,S武石油,1996年12月10日,,,,湖北省武汉市
237,000669,领先科技,吉林领先科技发展股份有限公司,000669,领先科技,1996年12月10日,,,,吉林省吉林市
238,000670,舜元地产,舜元地产发展股份有限公司,000670,S*ST天发,1996年12月17日,,,,湖北省荆州市
239,000671,阳光发展,福建阳光实业发展股份有限公司,000671,阳光发展,1996年12月18日,,,,福建省福州市
240,000672,上峰水泥,甘肃上峰水泥股份有限公司,000672,上峰水泥,1996年12月18日,,,,甘肃省白银市
241,000673,大同水泥,大同水泥股份有限公司,000673,ST大水,1997年1月24日,,,,山西省大同市
242,000676,思达高科,河南思达高科技股份有限公司,000676,思达高科,1996年12月24日,,,,河南省郑州市
243,000677,山东海龙,山东海龙股份有限公司,000677,山东海龙,1996年12月26日,,,,山东省潍坊市
244,000678,襄阳轴承,襄阳汽车轴承股份有限公司,000678,襄阳轴承,1997年1月6日,,,,湖北省襄樊市
245,000679,大连友谊,大连友谊（集团）股份有限公司,000679,大连友谊,1997年1月24日,,,,辽宁省大连市
246,000680,山推股份,山推工程机械股份有限公司,000680,山推股份,1997年1月22日,,,,山东省济宁市
247,000681,远东股份,远东实业股份有限公司,000681,*ST远东,1997年1月21日,,,,江苏省常州市
248,000682,东方电子,烟台东方电子信息产业股份有限公司,000682,东方电子,1997年1月21日,,,,山东省烟台市
249,000683,远兴能源,内蒙古远兴能源股份有限公司,000683,远兴能源,1997年1月31日,,,,内蒙古鄂尔多斯市
250,000685,中山公用,中山公用事业集团股份有限公司,000685,中山公用,1997年1月23日,,,,广东省中山市
251,000686,东北证券,东北证券股份有限公司,000686,东北证券,1997年2月27日,,,,辽宁省锦州市
252,000687,保定天鹅,保定天鹅股份有限公司,000687,保定天鹅,1997年2月21日,,,,河北省保定市
253,000688,朝华集团,朝华科技（集团）股份有限公司,000688,S*ST朝华,1997年1月20日,,,,重庆市
254,000690,宝新能源,广东宝丽华新能源股份有限公司,000690,宝新能源,1997年1月28日,,,,广东省梅州市
255,000691,海南联合,海南联合油脂科技发展股份有限公司,000691,ST联油,1997年2月28日,,,,海南省海口市
256,000692,惠天热电,沈阳惠天热电股份有限公司,000692,ST惠天,1997年2月27日,,,,辽宁省沈阳市
257,000693,聚友网络,成都聚友网络股份有限公司,000693,S*ST聚友,1997年2月26日,,,,四川省成都市
258,000695,滨海能源,天津滨海能源发展股份有限公司,000695,滨海能源,1997年2月18日,,,,天津市
259,000697,咸阳偏转,咸阳偏转股份有限公司,000697,咸阳偏转,1997年3月25日,,,,陕西省咸阳市
260,000698,沈阳化工,沈阳化工股份有限公司,000698,沈阳化工,1997年2月20日,,,,辽宁省沈阳市
261,000700,模塑科技,江南模塑科技股份有限公司,000700,模塑科技,1997年2月28日,,,,江苏省无锡市
262,000701,厦门信达,厦门信达股份有限公司,000701,厦门信达,1997年2月26日,,,,福建省厦门市
263,000702,正虹科技,湖南正虹科技发展股份有限公司,000702,正虹科技,1997年3月18日,,,,湖南省岳阳市
264,000703,世纪光华,世纪光华科技股份有限公司,000703,世纪光华,1997年3月28日,,,,广西北海市
265,000705,浙江震元,浙江震元股份有限公司,000705,浙江震元,1997年4月10日,,,,浙江省绍兴市
266,000706,瓦轴,瓦房店轴承股份有限公司,,,,200706,瓦轴B,1997年3月25日,辽宁省大连市
267,000707,双环科技,湖北双环科技股份有限公司,000707,双环科技,1997年4月15日,,,,湖北省孝感市
268,000708,大冶特钢,大冶特殊钢股份有限公司,000708,大冶特钢,1997年3月26日,,,,湖北省黄石市
269,000709,河北钢铁,河北钢铁股份有限公司,000709,河北钢铁,1997年4月16日,,,,河北省唐山市
270,000710,天兴仪表,成都天兴仪表股份有限公司,000710,天兴仪表,1997年4月22日,,,,四川省成都市
271,000711,天伦置业,黑龙江天伦置业股份有限公司,000711,天伦置业,1997年4月11日,,,,黑龙江省哈尔滨市
272,000712,锦龙股份,广东锦龙发展股份有限公司,000712,锦龙股份,1997年4月15日,,,,广东省清远市
273,000713,丰乐种业,合肥丰乐种业股份有限公司,000713,丰乐种业,1997年4月22日,,,,安徽省合肥市
274,000715,中兴商业,中兴-沈阳商业大厦(集团)股份有限公司,000715,中兴商业,1997年5月8日,,,,辽宁省沈阳市
275,000716,南方食品,广西南方食品集团股份有限公司,000716,ST南方,1997年4月18日,,,,广西南宁市
276,000717,韶钢松山,广东韶钢松山股份有限公司,000717,韶钢松山,1997年5月8日,,,,广东省韶关市
277,000718,苏宁环球,苏宁环球股份有限公司,000718,苏宁环球,1997年4月8日,,,,吉林省吉林市
278,000719,焦作鑫安,焦作鑫安科技股份有限公司,000719,S*ST鑫安,1997年3月31日,,,,河南省焦作市
279,000720,鲁能泰山,山东鲁能泰山电缆股份有限公司,000720,鲁能泰山,1997年5月9日,,,,山东省泰安市
280,000721,西安饮食,西安饮食股份有限公司,000721,西安饮食,1997年4月30日,,,,陕西省西安市
281,000722,金果实业,湖南金果实业股份有限公司,000722,*ST 金果,1997年5月22日,,,,湖南省衡阳市
282,000723,美锦能源,山西美锦能源股份有限公司,000723,美锦能源,1997年5月15日,,,,山西省太原市
283,000725,京东方,京东方科技集团股份有限公司,000725,京东方A,2001年1月12日,200725,京东方B,1997年6月10日,北京市
284,000726,鲁泰,鲁泰纺织股份有限公司,000726,鲁泰A,2000年12月25日,200726,鲁泰B,1997年8月19日,山东省淄博市
285,000727,华东科技,南京华东电子信息科技股份有限公司,000727,华东科技,1997年5月20日,,,,江苏省南京市
286,000728,国元证券,国元证券股份有限公司,000728,国元证券,1997年6月16日,,,,安徽省合肥市
287,000729,燕京啤酒,北京燕京啤酒股份有限公司,000729,燕京啤酒,1997年7月16日,,,,北京市
288,000731,四川美丰,四川美丰化工股份有限公司,000731,四川美丰,1997年6月17日,,,,四川省遂宁市
289,000732,福建三农,福建三农集团股份有限公司,000732,S*ST三农,1997年7月4日,,,,福建省三明市
290,000733,振华科技,中国振华(集团)科技股份有限公司,000733,振华科技,1997年7月3日,,,,贵州省贵阳市
291,000735,罗牛山,海口农工贸(罗牛山)股份有限公司,000735,罗牛山,1997年6月11日,,,,海南省海口市
292,000736,重庆实业,重庆国际实业投资股份有限公司,000736,SST重实,1997年4月25日,,,,重庆市
293,000737,南风化工,南风化工集团股份有限公司,000737,南风化工,1997年4月28日,,,,山西省运城市
294,000738,南方宇航,南方宇航科技股份有限公司,000738,ST宇航,1997年6月26日,,,,湖南省株洲市
295,000739,普洛股份,普洛股份有限公司,000739,普洛股份,1997年5月9日,,,,山东省青岛市
296,000748,长城信息,长城信息产业股份有限公司,000748,长城信息,1997年7月4日,,,,湖南省长沙市
297,000750,国海证券,国海证券股份有限公司,000750,国海证券,1997年7月9日,,,,广西南宁市
298,000751,锌业股份,葫芦岛锌业股份有限公司,000751,锌业股份,1997年6月26日,,,,辽宁省葫芦岛市
299,000752,西藏发展,西藏银河科技发展股份有限公司,000752,西藏发展,1997年6月25日,,,,西藏拉萨市
300,000753,漳州发展,福建漳州发展股份有限公司,000753,漳州发展,1997年6月26日,,,,福建省漳州市
301,000755,山西三维,山西三维集团股份有限公司,000755,山西三维,1997年6月27日,,,,山西省太原市
302,000756,新华制药,山东新华制药股份有限公司,000756,新华制药,1997年8月6日,,,,山东省淄博市
303,000757,方向光电,四川方向光电股份有限公司,000757,*ST方向,1997年6月27日,,,,四川省内江市
304,000758,中色股份,中国有色金属建设股份有限公司,000758,中色股份,1997年4月16日,,,,北京市
305,000759,武汉中百,武汉中百集团股份有限公司,000759,武汉中百,1997年5月19日,,,,湖北省武汉市
306,000760,博盈投资,湖北博盈投资股份有限公司,000760,博盈投资,1997年6月27日,,,,湖北省荆州市
307,000761,本钢板材,本钢板材股份有限公司,000761,本钢板材,1998年1月15日,200761,本钢板B,1997年7月8日,辽宁省本溪市
308,000762,西藏矿业,西藏矿业发展股份有限公司,000762,西藏矿业,1997年7月8日,,,,西藏拉萨市
309,000766,通化金马,通化金马药业集团股份有限公司,000766,通化金马,1997年4月30日,,,,吉林省通化市
310,000767,漳泽电力,山西漳泽电力股份有限公司,000767,漳泽电力,1997年6月9日,,,,山西省太原市
311,000768,西飞国际,西安飞机国际航空制造股份有限公司,000768,西飞国际,1997年6月26日,,,,陕西省西安市
312,000770,武锅,武汉锅炉股份有限公司,,,,200770,武锅B,1998年4月15日,湖北省武汉市
313,000771,杭汽轮,杭州汽轮机股份有限公司,,,,200771,杭汽轮B,1998年4月28日,浙江省杭州市
314,000776,延边公路,延边公路建设股份有限公司,000776,S延边路,1997年6月11日,,,,吉林省延吉市
315,000777,中核科技,中核苏阀科技实业股份有限公司,000777,中核科技,1997年7月10日,,,,江苏省苏州市
316,000778,新兴铸管,新兴铸管股份有限公司,000778,新兴铸管,1997年6月6日,,,,河北省武安市
317,000779,三毛派神,兰州三毛实业股份有限公司,000779,ST派神,1997年5月28日,,,,甘肃省兰州市
318,000780,平庄能源,内蒙古平庄能源股份有限公司,000780,ST平能,1997年6月6日,,,,内蒙古赤峰市
319,000782,美达股份,广东新会美达锦纶股份有限公司,000782,美达股份,1997年6月19日,,,,广东省江门市
320,000783,长江证券,长江证券股份有限公司,000783,长江证券,1997年7月31日,,,,湖北省武汉市
321,000785,武汉中商,武汉中商集团股份有限公司,000785,武汉中商,1997年7月11日,,,,湖北省武汉市
322,000786,北新建材,北新集团建材股份有限公司,000786,北新建材,1997年6月6日,,,,北京市
323,000787,创智科技,创智信息科技股份有限公司,000787,*ST创智,1997年6月26日,,,,广东省深圳市
324,000788,西南合成,西南合成制药股份有限公司,000788,西南合成,1997年6月16日,,,,重庆市
325,000789,江西水泥,江西万年青水泥股份有限公司,000789,江西水泥,1997年9月23日,,,,江西省南昌市
326,000790,华神集团,成都华神集团股份有限公司,000790,华神集团,1998年3月27日,,,,四川省成都市
327,000791,西北化工,西北永新化工股份有限公司,000791,西北化工,1997年10月14日,,,,甘肃省兰州市
328,000792,盐湖钾肥,青海盐湖钾肥股份有限公司,000792,盐湖钾肥,1997年9月4日,,,,青海省格尔木市
329,000793,华闻传媒,华闻传媒投资股份有限公司,000793,华闻传媒,1997年7月29日,,,,海南省海口市
330,000795,太原刚玉,太原双塔刚玉股份有限公司,000795,太原刚玉,1997年8月8日,,,,山西省太原市
331,000796,宝商集团,宝鸡商场(集团)股份有限公司,000796,宝商集团,1997年7月3日,,,,陕西省宝鸡市
332,000797,中国武夷,中国武夷实业股份有限公司,000797,中国武夷,1997年7月15日,,,,福建省福州市
333,000798,中水渔业,中水集团远洋股份有限公司,000798,中水渔业,1998年2月12日,,,,北京市
334,000799,湘酒鬼,酒鬼酒股份有限公司,000799,酒鬼酒,1997年7月18日,,,,湖南省吉首市
335,000800,一汽轿车,一汽轿车股份有限公司,000800,一汽轿车,1997年6月18日,,,,吉林省长春市
336,000801,四川九州,四川九州电子科技股份有限公司,000801,四川九州,1998年5月6日,,,,四川省绵阳市
337,000802,北京文化,北京京西文化旅游股份有限公司,000802,北京文化,1998年1月8日,,,,北京市
338,000803,金宇车城,四川金宇汽车城（集团）股份有限公司,000803,金宇车城,1998年3月3日,,,,四川省南充市
339,000805,炎黄物流,江苏炎黄在线物流股份有限公司,000805,S*ST炎黄,1998年5月29日,,,,江苏省常州市
340,000806,银河科技,北海银河高科技产业股份有限公司,000806,银河科技,1998年4月16日,,,,广西北海市
341,000807,云铝股份,云南铝业股份有限公司,000807,云铝股份,1998年4月8日,,,,云南省昆明市
342,000809,中汇医药,四川中汇医药（集团）股份有限公司,000809,中汇医药,1998年6月16日,,,,四川省成都市
343,000810,创维数字,创维数字技术股份有限公司,000810,创维数字,1998年6月2日,,,,四川省遂宁市
344,000811,烟台冰轮,烟台冰轮股份有限公司,000811,烟台冰轮,1998年5月28日,,,,山东省烟台市
345,000812,陕西金叶,陕西金叶科教集团股份有限公司,000812,陕西金叶,1998年6月23日,,,,陕西省西安市
346,000813,天山纺织,新疆天山毛纺织股份有限公司,000813,天山纺织,1998年5月19日,,,,新疆乌鲁木齐市
347,000815,美利纸业,中冶美利纸业股份有限公司,000815,美利纸业,1998年6月9日,,,,宁夏银川市
348,000816,江淮动力,江苏江淮动力股份有限公司,000816,江淮动力,1997年8月18日,,,,江苏省盐城市
349,000818,锦化氯碱,锦化化工集团氯碱股份有限公司,000818,锦化氯碱,1997年10月17日,,,,辽宁省葫芦岛市
350,000819,岳阳兴长,岳阳兴长石化股份有限公司,000819,岳阳兴长,1997年6月25日,,,,湖南省岳阳市
351,000820,金城股份,金城造纸股份有限公司,000820,金城股份,1998年6月30日,,,,辽宁省锦州市
352,000821,京山轻机,湖北京山轻工机械股份有限公司,000821,京山轻机,1998年6月26日,,,,湖北省荆门市
353,000822,山东海化,山东海化股份有限公司,000822,山东海化,1998年7月3日,,,,山东省潍坊市
354,000823,超声电子,广东汕头超声电子股份有限公司,000823,超声电子,1997年10月8日,,,,广东省汕头市
355,000825,太钢不锈,山西太钢不锈钢股份有限公司,000825,太钢不锈,1998年10月21日,,,,山西省太原市
356,000826,合加资源,合加资源发展股份有限公司,000826,合加资源,1998年2月25日,,,,湖北省宜昌市
357,000828,东莞控股,东莞发展控股股份有限公司,000828,东莞控股,1997年6月17日,,,,广东省东莞市
358,000829,天音控股,天音通信控股股份有限公司,000829,天音控股,1997年12月2日,,,,江西省赣州市
359,000830,鲁西化工,山东鲁西化工股份有限公司,000830,鲁西化工,1998年8月7日,,,,山东省聊城市
360,000831,关铝股份,山西关铝股份有限公司,000831,关铝股份,1998年9月11日,,,,山西省运城市
361,000833,贵糖股份,广西贵糖(集团)股份有限公司,000833,贵糖股份,1998年11月11日,,,,广西贵港市
362,000835,四川圣达,四川圣达实业股份有限公司,000835,四川圣达,1999年6月25日,,,,四川省成都市
363,000836,鑫茂科技,天津鑫茂科技股份有限公司,000836,鑫茂科技,1997年9月29日,,,,天津市
364,000837,秦川发展,陕西秦川机械发展股份有限公司,000837,秦川发展,1998年9月28日,,,,陕西省宝鸡市
365,000838,国兴地产,国兴融达地产股份有限公司,000838,国兴地产,1997年6月26日,,,,四川省德阳市
366,000839,中信国安,中信国安信息产业股份有限公司,000839,中信国安,1997年10月31日,,,,北京市
367,000848,承德露露,河北承德露露股份有限公司,000848,承德露露,1997年11月13日,,,,河北省承德市
368,000850,华茂股份,安徽华茂纺织股份有限公司,000850,华茂股份,1998年10月7日,,,,安徽省安庆市
369,000851,高鸿股份,大唐高鸿数据网络技术股份有限公司,000851,高鸿股份,1998年6月9日,,,,贵州省贵阳市
370,000852,江钻股份,江汉石油钻头股份有限公司,000852,江钻股份,1998年11月26日,,,,湖北省武汉市
371,000856,唐山陶瓷,唐山陶瓷股份有限公司,000856,唐山陶瓷,1998年8月13日,,,,河北省唐山市
372,000858,五粮液,宜宾五粮液股份有限公司,000858,五粮液,1998年4月27日,,,,四川省宜宾市
373,000859,国风塑业,安徽国风塑业股份有限公司,000859,国风塑业,1998年11月19日,,,,安徽省合肥市
374,000860,顺鑫农业,北京顺鑫农业股份有限公司,000860,顺鑫农业,1998年11月4日,,,,北京市
375,000861,海印股份,广东海印永业（集团）股份有限公司,000861,海印股份,1998年10月28日,,,,广东省茂名市
376,000862,银星能源,宁夏银星能源股份有限公司,000862,银星能源,1998年9月15日,,,,宁夏吴忠市
377,000863,和光商务,深圳和光现代商务股份有限公司,000863,*ST商务,1997年9月25日,,,,广东省深圳市
378,000868,安凯客车,安徽安凯汽车股份有限公司,000868,安凯客车,1997年7月25日,,,,安徽省合肥市
379,000869,张裕,烟台张裕葡萄酿酒股份有限公司,000869,张裕A,2000年10月26日,200869,张裕B,1997年9月23日,山东省烟台市
380,000875,吉电股份,吉林电力股份有限公司,000875,吉电股份,2002年9月26日,,,,吉林省长春市
381,000876,新希望,四川新希望农业股份有限公司,000876,新希望,1998年3月11日,,,,四川省绵阳市
382,000877,天山股份,新疆天山水泥股份有限公司,000877,天山股份,1999年1月7日,,,,新疆乌鲁木齐市
383,000878,云南铜业,云南铜业股份有限公司,000878,云南铜业,1998年6月2日,,,,云南省昆明市
384,000880,山东巨力,山东巨力股份有限公司,000880,山东巨力,1998年4月2日,,,,山东省潍坊市
385,000881,大连国际,中国大连国际合作（集团）股份有限公司,000881,大连国际,1998年9月2日,,,,辽宁省大连市
386,000882,华联股份,北京华联商厦股份有限公司,000882,华联股份,1998年6月16日,,,,北京市
387,000883,三环股份,湖北三环股份有限公司,000883,三环股份,1998年5月19日,,,,湖北省武汉市
388,000885,同力水泥,河南同力水泥股份有限公司,000885,同力水泥,1999年3月19日,,,,河南省洛阳市
389,000886,海南高速,海南高速公路股份有限公司,000886,海南高速,1998年1月23日,,,,海南省海口市
390,000887,中鼎股份,安徽中鼎密封件股份有限公司,000887,中鼎股份,1998年12月3日,,,,安徽省宣城市
391,000888,峨眉山,峨眉山旅游股份有限公司,000888,峨眉山A,1997年10月21日,,,,四川省峨眉山市
392,000889,渤海物流,秦皇岛渤海物流控股股份有限公司,000889,渤海物流,1997年12月18日,,,,河北省秦皇岛市
393,000890,法尔胜,江苏法尔胜股份有限公司,000890,法尔胜,1999年1月19日,,,,江苏省无锡市
394,000892,星美联合,星美联合股份有限公司,000892,S*ST星美,1999年1月15日,,,,重庆市
395,000893,广州冷机,广州冷机股份有限公司,000893,广州冷机,1998年12月24日,,,,广东省广州市
396,000895,双汇发展,河南双汇投资发展股份有限公司,000895,双汇发展,1998年12月10日,,,,河南省漯河市
397,000897,津滨发展,天津津滨发展股份有限公司,000897,津滨发展,1999年4月22日,,,,天津市
398,000898,鞍钢股份,鞍钢股份有限公司,000898,鞍钢股份,1997年12月25日,,,,辽宁省鞍山市
399,000899,赣能股份,江西赣能股份有限公司,000899,赣能股份,1997年11月26日,,,,江西省南昌市
400,000900,现代投资,现代投资股份有限公司,000900,现代投资,1999年1月28日,,,,湖南省长沙市
401,000901,航天科技,航天科技控股集团股份有限公司,000901,航天科技,1999年4月1日,,,,黑龙江省哈尔滨市
402,000902,中国服装,中国服装股份有限公司,000902,中国服装,1999年4月8日,,,,北京市
403,000903,云内动力,昆明云内动力股份有限公司,000903,云内动力,1999年4月15日,,,,云南省昆明市
404,000905,厦门港务,厦门港务发展股份有限公司,000905,厦门港务,1999年4月29日,,,,福建省厦门市
405,000906,南方建材,南方建材股份有限公司,000906,*ST建材,1999年7月7日,,,,湖南省长沙市
406,000908,天一科技,湖南天一科技股份有限公司,000908,天一科技,1999年2月3日,,,,湖南省岳阳市
407,000909,数源科技,数源科技股份有限公司,000909,数源科技,1999年5月7日,,,,浙江省杭州市
408,000910,大亚科技,大亚科技股份有限公司,000910,大亚科技,1999年6月30日,,,,江苏省镇江市
409,000911,南宁糖业,南宁糖业股份有限公司,000911,南宁糖业,1999年5月27日,,,,广西南宁市
410,000912,泸天化,四川泸天化股份有限公司,000912,泸天化,1999年6月3日,,,,四川省成都市
411,000913,钱江摩托,浙江钱江摩托股份有限公司,000913,钱江摩托,1999年5月14日,,,,浙江省台州市
412,000915,山大华特,山东山大华特科技股份有限公司,000915,山大华特,1999年6月9日,,,,山东省临沂市
413,000916,华北高速,华北高速公路股份有限公司,000916,华北高速,1999年9月27日,,,,北京市
414,000917,电广传媒,湖南电广传媒股份有限公司,000917,电广传媒,1999年3月25日,,,,湖南省长沙市
415,000918,亚华控股,湖南亚华控股集团股份有限公司,000918,SST亚华,1999年7月20日,,,,湖南省长沙市
416,000919,金陵药业,金陵药业股份有限公司,000919,金陵药业,1999年11月18日,,,,江苏省南京市
417,000920,南方汇通,南方汇通股份有限公司,000920,南方汇通,1999年6月16日,,,,贵州省贵阳市
418,000921,科龙电器,海信科龙电器股份有限公司,000921,ST科龙,1999年7月13日,,,,广东省佛山市
419,000922,阿继电器,阿城继电器股份有限公司,000922,*ST阿继,1999年6月18日,,,,黑龙江省哈尔滨市
420,000923,河北宣工,河北宣化工程机械股份有限公司,000923,河北宣工,1999年7月14日,,,,河北省张家口市
